tmdb_id,title,release_date,genres,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,tagline,overview,cast_names,cast_ids,release_year
9767,The Break-Up,2006-06-01,Romance|Comedy,52000000,205700000,106,4.0622,5.896,2809,en,…pick a side.,"Pushed to the breaking-up point after their latest 'why can't you do this one little thing for me?' argument, Brooke calls it quits with her boyfriend Gary. What follows is a hilarious series of remedies, war tactics, overtures and undermining tricks – all encouraged by the former couple's friends and confidantes …and the occasional total stranger! When neither ex is willing to move out of their shared apartment, the only solution is to continue living as hostile roommates until one of them reaches breaking point.",Jennifer Aniston|Vince Vaughn|Joey Lauren Adams|Ann-Margret|Jason Bateman,4491|4937|16484|13567|23532,2006
9776,Head of State,2003-03-28,Comedy|Drama,35200000,37788228,95,1.7498,5.6,312,en,The only thing white is the house.,"When a presidential candidate dies unexpectedly in the middle of the campaign, the Democratic party unexpectedly picks a Washington, D.C. alderman as his replacement.",Chris Rock|Bernie Mac|Dylan Baker|Nick Searcy|Lynn Whitfield,2632|1897|19152|12538|16217,2003
9778,Serendipity,2001-10-05,Comedy|Romance,28000000,77516304,90,4.0854,6.956,2117,en,Sometimes True Love Can Have More Than One Face.,"Although strangers Sara and Jonathan are both already in relationships, they realize they have genuine chemistry after a chance encounter – but part company soon after. Years later, they each yearn to reunite, despite being destined for the altar. But to give true love a chance, they have to find one another again.",John Cusack|Kate Beckinsale|Jeremy Piven|Bridget Moynahan|John Corbett,3036|3967|12799|18354|38405,2001
9779,The Sisterhood of the Traveling Pants,2005-06-01,Drama|Comedy|Romance,25000000,39053061,119,2.0465,6.5,1340,en,Laugh. Cry. Share the pants.,"Four best friends (Tibby, Lena, Carmen &amp; Bridget) who buy a mysterious pair of pants that fits each of them, despite their differing sizes, and makes whoever wears them feel fabulous. When faced with the prospect of spending their first summer apart, the pals decide they'll swap the pants so that each girl in turn can enjoy the magic.",Amber Tamblyn|Alexis Bledel|America Ferrera|Blake Lively|Jenna Boyd,20354|6279|59174|59175|59176,2005
9787,Lords of Dogtown,2005-06-03,Drama|Action,25000000,13411957,107,2.2378,7.09,794,en,They came from nothing to change everything.,"The radical true story behind three teenage surfers from Venice Beach, California, who took skateboarding to the extreme and changed the world of sports forever. Stacy Peralta, Tony Alva and Jay Adams are the Z-Boys, a bunch of nobodies until they create a new style of skateboarding that becomes a worldwide phenomenon. But when their hobby becomes a business, the success shreds their friendship.",John Robinson|Emile Hirsch|Rebecca De Mornay|William Mapother|Julio Oscar Mechoso,19197|46593|28412|15338|17413,2005
9788,Accepted,2006-08-18,Comedy,23000000,38505009,93,4.1626,6.446,1758,en,When every college turned them down. . . they made one up.,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.",Justin Long|Jonah Hill|Blake Lively|Adam Herschman|Columbus Short,15033|21007|59175|59256|31132,2006
9791,Animal Factory,2000-10-13,Crime|Drama,3600000,43805,94,1.8191,6.324,256,en,On the inside the rules are brutal and the stakes are high.,"Suburbanite Ron is spoiled, young and not overly worried about the marijuana charges leveled against him. But, after being made out to be a drug dealer, he faces a five-year jail sentence in San Quentin State Prison. Physically frail and unaccustomed to his rough surroundings, Ron is primed to fall victim to sexual predators and bullying guards – that is, until he's befriended by Earl, a veteran inmate who finds meaning in protecting the vulnerable new kid.",Willem Dafoe|Edward Furlong|Danny Trejo|Mark Boone Junior|Seymour Cassel,5293|820|11160|534|5950,2000
9792,The Hills Have Eyes,2006-03-10,Horror|Thriller,15000000,69623713,107,6.405,6.455,3298,en,The lucky ones die first.,"Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",Aaron Stanford|Dan Byrd|Emilie de Ravin|Vinessa Shaw|Ted Levine,11022|59283|28660|5025|15854,2006
9793,The Hills Have Eyes 2,2007-03-22,Horror|Thriller,15000000,37697773,89,3.5319,5.567,1593,en,There Are Fates Worse Than Death.,A group of National Guard trainees on a routine mission find themselves up against cannibalistic mutants in the New Mexico desert.,Michael McMillian|Jessica Stroup|Jacob Vargas|Flex Alexander|Michael Bailey Smith,101416|55463|16429|109686|37008,2007
9794,Employee of the Month,2006-10-06,Comedy|Romance,12000000,38528984,103,2.202,5.614,693,en,"In order to get the girl, he's gotta get his shift together.","When he hears that the new female employee digs ambitious men who are the store employee of the month, a slacker gets his act together but finds himself in competition with his rival, an ambitious co-worker.",Dane Cook|Jessica Simpson|Dax Shepard|Andy Dick|Tim Bagley,31837|52052|51298|43120|53400,2006
