tmdb_id,title,release_date,release_year,release_month,genres,primary_genre,cast_names,cast_ids,budget,revenue,runtime,popularity,vote_average,vote_count,budget_log,revenue_log,budget_norm,revenue_norm
11615,The Life of David Gale,2003-02-21,2003,2,Drama|Thriller|Crime,Drama,Kevin Spacey|Kate Winslet|Laura Linney|Rhona Mitra|Gabriel Mann,1979|204|350|25702|32458,50000000.0,38955598.0,130,3.5262,7.43,2171,7.9321813850790095,7.823781256804668,0.08335069806209627,0.013322360136559325
11619,Flushed Away,2006-10-22,2006,10,Adventure|Animation|Comedy|Family,Adventure,Hugh Jackman|Kate Winslet|Ian McKellen|Jean Reno|Bill Nighy,6968|204|1327|1003|2440,149000000.0,178120010.0,85,4.919,6.315,4061,8.366724945580923,8.444251388148952,0.28964367576578454,0.06092107517699383
11631,Mamma Mia!,2008-07-03,2008,7,Comedy|Romance,Comedy,Meryl Streep|Amanda Seyfried|Pierce Brosnan|Colin Firth|Stellan Skarsgård,5064|71070|517|5472|1640,52000000.0,609841637.0,108,7.8531,6.974,6945,7.88098852057881,8.950202247844313,0.08751823296520109,0.20858378869002728
11632,Vanity Fair,2004-09-01,2004,9,Drama|Romance,Drama,Reese Witherspoon|Eileen Atkins|Jim Broadbent|Gabriel Byrne|Romola Garai,368|20300|388|5168|6979,23000000.0,16123851.0,141,1.5306,5.8,356,7.583525086584535,7.429266017824265,0.02708897687018129,0.005513166653039304
11635,Old School,2003-02-21,2003,2,Comedy,Comedy,Luke Wilson|Will Ferrell|Vince Vaughn|Jeremy Piven|Ellen Pompeo,36422|23659|4937|12799|9280,24000000.0,87100000.0,92,6.2638,6.624,2081,7.613422625839231,8.173229538309531,0.029172744321733696,0.029789297614728136
11637,Are We There Yet?,2005-01-20,2005,1,Family|Adventure|Comedy|Romance,Family,Ice Cube|Nia Long|Aleisha Allen|Philip Bolden|Jay Mohr,9778|9781|64064|64066|12217,32000000.0,97918663.0,95,2.1633,5.69,1040,7.712476942631955,8.19819243749518,0.04584288393415295,0.03348962911367121
11638,Guess Who,2005-03-25,2005,3,Comedy|Romance,Comedy,Bernie Mac|Ashton Kutcher|Zoe Saldaña|Judith Scott|Hal Williams,1897|18976|8691|44185|70775,35000000.0,103100000.0,105,2.2665,6.0,963,7.751395008181188,8.220585627815217,0.05209418628881017,0.035261813394458885
77174,ParaNorman,2012-08-03,2012,8,Family|Animation|Adventure|Comedy,Family,Kodi Smit-McPhee|Tucker Albrizzi|Anna Kendrick|Casey Affleck|Christopher Mintz-Plasse,113505|558925|84223|1893|54691,60000000.0,107307220.0,93,4.3392,7.032,2744,7.915208571605894,8.167686266268378,0.10418837257762034,0.036700818259383816
11648,Must Love Dogs,2005-07-21,2005,7,Romance|Comedy,Romance,Diane Lane|John Cusack|Elizabeth Perkins|Christopher Plummer|Dermot Mulroney,2882|3036|20|290|20212,30000000.0,58405313.0,98,1.6448,5.9,486,7.68444821341844,7.973779319297989,0.04167534903104814,0.0199747896521072
11652,Invincible,2006-08-25,2006,8,Drama|History,Drama,Mark Wahlberg|Greg Kinnear|Elizabeth Banks|Kevin Conway|Michael Rispoli,13240|17141|9281|27116|18313,30000000.0,57800000.0,105,3.1423,7.006,1013,7.670659933568283,7.955466516403005,0.04167534903104814,0.01976775309309619
