tmdb_id,title,release_date,release_year,release_month,genres,primary_genre,cast_names,cast_ids,budget,revenue,runtime,popularity,vote_average,vote_count,budget_log,revenue_log,budget_norm,revenue_norm,budget_adj,revenue_adj,est_profit_adj,profit_margin,revenue_ratio,actor_prestige_score,prestige_tier,budget_tier,outcome_label,release_window,marketing_ratio,est_marketing_budget
603692,John Wick: Chapter 4,2023-03-21,2023,3,Action|Thriller|Crime,Action,Keanu Reeves|Donnie Yen|Bill Skarsgård|Ian McShane|Laurence Fishburne,6384|1341|137905|6972|2975,100000000.0,447316405.0,170,15.5582,7.707,7821,8.01415675091084,8.664771577138751,0.18753907063971662,0.15299492014475216,103313423.0,462137890.0,296836413.2,1.7957275333912803,4.473,7.851896009514054,Unknown,Mid,Hit,Off-season,0.6,60000000.0
13885,Sweeney Todd: The Demon Barber of Fleet Street,2007-12-21,2007,12,Drama|Horror,Drama,Johnny Depp|Helena Bonham Carter|Alan Rickman|Timothy Spall|Sacha Baron Cohen,85|1283|4566|9191|6730,50000000.0,153384272.0,116,4.5393,7.178,6292,7.880399906968687,8.36721073243127,0.08335069806209627,0.05246065539397597,75927641.0,232922119.0,111437893.39999999,0.9173034017348174,3.068,8.237205532976537,A-list,Mid,Hit,Holiday,0.6,30000000.0
112205,The Family,2013-09-13,2013,9,Crime|Comedy|Action,Crime,Robert De Niro|Michelle Pfeiffer|Tommy Lee Jones|Dianna Agron|John D'Leo,380|1160|2176|141687|1056523,30000000.0,36894225.0,111,5.2606,6.362,3084,7.607794540922779,7.6976316723295675,0.04167534903104814,0.012617304119658642,40531674.0,49846156.0,-21084273.5,-0.29725286662757344,1.23,8.073813860404131,Established,Low,Flop,Off-season,0.75,22500000.0
13920,Radio,2003-10-24,2003,10,Drama,Drama,Cuba Gooding Jr.|Ed Harris|Alfre Woodard|S. Epatha Merkerson|Debra Winger,9777|228|1981|3978|26513,35000000.0,53293628.0,109,2.895,7.304,815,7.777279427269103,7.959886670294642,0.05209418628881017,0.018226428600637636,59879674.0,91177288.0,-4630190.400000006,-0.04832806871994667,1.523,8.002343768892294,Rising,Mid,Flop,Off-season,0.6,21000000.0
13922,The Great Raid,2005-08-12,2005,8,Action|History|War,Action,Benjamin Bratt|James Franco|Connie Nielsen|Logan Marshall-Green|Joseph Fiennes,4589|17051|935|130253|12763,80000000.0,10166502.0,132,2.1104,6.525,374,8.110416947936029,7.214498499624195,0.14586372160866848,0.003475561252547852,128948694.0,16386964.0,-189930946.4,-0.92057420527268,0.127,8.132986513603827,Established,Mid,Flop,Summer,0.6,48000000.0
13944,Passengers,2008-09-26,2008,9,Drama|Mystery|Thriller|Romance,Drama,Anne Hathaway|Patrick Wilson|Andre Braugher|Dianne Wiest|David Morse,1813|17178|6861|1902|52,25000000.0,2000000.0,93,2.8099,6.1,982,7.562925188814824,6.466015241153184,0.0312565117732861,0.0006823543112851785,36553182.0,2924255.0,-61043813.5,-0.9542857074072825,0.08,8.112928379452836,Established,Low,Flop,Off-season,0.75,18750000.0
13948,An American Carol,2008-10-03,2008,10,Comedy|Fantasy,Comedy,Kevin Farley|Kelsey Grammer|Leslie Nielsen|Trace Adkins|Robert Davi,5620|7090|7633|85477|2055,20000000.0,7000000.0,82,1.5279,4.2,108,7.466015166895891,7.0100832218543525,0.02083767451552407,0.0023925154924510396,29242545.0,10234891.0,-40939562.75,-0.79999999511475,0.35,8.106853681475624,Established,Low,Flop,Off-season,0.75,15000000.0
13950,All About the Benjamins,2002-03-08,2002,3,Action|Adventure|Comedy|Crime|Thriller,Action,Ice Cube|Mike Epps|Eva Mendes|Tommy Flanagan|Carmen Chaplin,9778|51944|8170|2478|76093,14000000.0,25482931.0,95,1.5281,5.9,185,7.389126074250338,7.6492474164982855,0.008335069806209627,0.008714273714524462,24497743.0,44591021.0,1719970.75,0.04011963177878993,1.82,7.9395584109720465,Rising,Low,Flop,Off-season,0.75,10500000.0
13960,ATL,2006-03-31,2006,3,Drama|Comedy,Drama,T.I.|Evan Ross|Jackie Long|Lauren London|Albert Daniels,76126|94103|66526|98772|76129,20000000.0,21170563.0,107,2.6559,6.9,168,7.4945686745126014,7.5192710838857,0.02083767451552407,0.0072393048440240896,31229762.0,33057582.0,-21594501.5,-0.3951267749929424,1.059,8.065386789819016,Established,Low,Flop,Off-season,0.75,15000000.0
13967,Miss Potter,2006-12-03,2006,12,Drama|Family|Romance,Drama,Renée Zellweger|Ewan McGregor|Emily Watson|Barbara Flynn|Bill Paterson,9137|3061|1639|183201|104795,30000000.0,35078241.0,92,2.483,6.6,540,7.670659933568283,7.738576487240703,0.04167534903104814,0.011996179051174982,46844643.0,54774256.0,-27203869.25,-0.33184302723487813,1.169,8.104763891472277,Established,Low,Flop,Holiday,0.75,22500000.0
